#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.339465946	-0.196102131	0.919949361	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.706398882	-0.581315252	0.403823226	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
-0.613492462	0.789611664	-0.01184987	0_1	 + 1	PD[];
0.0906005887	0.0731508442	-0.993197104	0_1	 + 1	PD[];
0.456268444	0.404451211	0.792614866	0_1	 + 1	PD[];
-0.174842172	-0.68908942	0.703268076	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.926067822	-0.375288447	-0.0394584602	0_1	 + 1	PD[];
0.862762062	0.0704296029	-0.500680832	0_1	 + 1	PD[];
0.431479383	-0.805962527	-0.405277616	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.749883955	-0.566085013	-0.342376712	0_1	 + 1	PD[];
0.168580423	-0.45932036	-0.872126968	0_1	 + 1	PD[];
-0.670198759	-0.561876221	0.484900748	0_1	 + 1	PD[];
0.419133764	-0.057907267	-0.906075955	0_1	 + 1	PD[];
0.65391173	0.11442441	0.747867973	0_1	 + 1	PD[];
-0.0609361178	-0.995995801	-0.0654152459	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.502523228	-0.63905548	-0.582304473	0_1	 + 1	PD[];
-0.28496122	-0.950340624	0.125099167	0_1	 + 1	PD[];
-0.65833912	-0.751225589	0.0474311938	0_1	 + 1	PD[];
0.886180685	0.20595105	0.415051755	0_1	 + 1	PD[];
0.803552118	-0.594761871	0.0237130919	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.579857318	0.655423804	0.483926779	0_1	 + 1	PD[];
-0.940126	0.339994663	0.0238061673	0_1	 + 1	PD[];
0.774274565	-0.630064112	-0.05931368	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.90085817	0.416938776	0.12089919	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.798075272	-0.335170646	0.500735956	0_1	 + 1	PD[];
-0.933098649	-0.359066126	-0.0199606488	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.861309946	0.486851281	0.145330684	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0926928796	0.990504481	0.101532765	0_1	 + 1	PD[];
-0.512296267	-0.769524281	0.38129374	0_1	 + 1	PD[];
-0.568473897	-0.673927887	-0.471867176	0_1	 + 1	PD[];
-0.442576289	0.69778481	0.563225166	0_1	 + 1	PD[];
0.676129945	-0.648307043	-0.350066101	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.759263194	0.649513665	-0.0406374363	0_1	 + 1	PD[];
