#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
-0.943349927	0.294324766	0.153179134	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.321437345	0.919391403	0.226710128	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0339252764	-0.142692588	0.989185473	0_1	 + 1	PD[];
0.658688841	-0.749254925	0.0688917106	0_1	 + 1	PD[];
-0.928197963	-0.171396879	-0.330259976	0_1	 + 1	PD[];
0.146429662	0.987347988	0.0608465606	0_1	 + 1	PD[];
-0.390567488	0.21728117	-0.89456466	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.0795138968	0.692223529	0.71728943	0_1	 + 1	PD[];
0.126894386	-0.664633082	0.736315613	0_1	 + 1	PD[];
-0.846529256	0.528986931	0.0596745028	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.277363025	0.921608648	-0.271490795	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.541028187	0.523578495	0.658144407	0_1	 + 1	PD[];
-0.633006829	0.348081467	0.691477871	0_1	 + 1	PD[];
-0.400745562	-0.73678611	-0.544563332	0_1	 + 1	PD[];
0.907688022	0.419595263	-0.00650155731	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.862703756	0.495209527	-0.102517092	0_1	 + 1	PD[];
0.273259426	-0.815201744	-0.51066173	0_1	 + 1	PD[];
0.711764958	0.285227679	-0.64190016	0_1	 + 1	PD[];
-0.107857016	0.467856718	0.877198356	0_1	 + 1	PD[];
0.563602282	-0.822369172	-0.0778550683	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.513955533	0.264901848	0.81589014	0_1	 + 1	PD[];
0.858925932	0.485535983	-0.162791438	0_1	 + 1	PD[];
-0.982851281	0.0973669999	-0.156598295	0_1	 + 1	PD[];
0.557400211	0.823391132	-0.106452094	0_1	 + 1	PD[];
0.960864028	-0.108203154	-0.255014502	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.3333868	0.0719879191	0.940037755	0_1	 + 1	PD[];
-0.6619103	0.73975254	0.120999725	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[0,6,1,5],X[6,2,7,1],X[2,5,3,4],X[7,4,8,3]];
0.508180315	-0.517865613	0.688162753	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.0574492028	-0.218794425	0.974078328	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
-0.80606187	0.365451277	0.465520812	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.217640564	0.782305329	0.583635979	0_1	 + 1	PD[];
-0.130278525	0.869031608	0.477296104	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.600089602	-0.563596992	-0.567671473	0_1	 + 1	PD[];
-0.422192588	0.351210862	-0.835705899	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.973763458	0.222071653	0.0496881101	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.712695654	-0.509709977	-0.481934274	0_1	 + 1	PD[];
0.750669148	0.338312101	0.567486345	0_1	 + 1	PD[];
-0.0859474063	-0.895334257	0.437023581	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.523311295	0.735433427	-0.430445076	0_1	 + 1	PD[];
0.024131419	0.993921722	-0.107411753	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.421330783	-0.0101695383	0.906850016	0_1	 + 1	PD[];
-0.508049309	-0.620840178	0.597028787	0_1	 + 1	PD[];
0.251485144	-0.712786667	0.654744523	0_1	 + 1	PD[];
-0.389100581	-0.715041721	-0.580789182	0_1	 + 1	PD[];
-0.828615315	0.559742715	-0.00920606405	0_1	 + 1	PD[];
-0.57992391	-0.717727087	0.385429742	0_1	 + 1	PD[];
0.174421815	0.560529939	0.809557421	0_1	 + 1	PD[];
-0.685714223	0.664232823	-0.297642002	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.0187325006	0.930066091	0.366914377	0_1	 + 1	PD[];
0.200015739	0.803087478	-0.561287989	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.328503416	-0.215357679	0.919623062	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
-0.440499941	-0.804382068	0.398659365	0_1	 + 1	PD[];
0.538289769	0.403990817	-0.739618512	0_1	 + 1	PD[];
0.637296424	-0.769514497	0.0412396332	0_1	 + 1	PD[];
-0.103822503	0.607351838	-0.787619599	0_1	 + 1	PD[];
-0.203494685	0.859753069	0.468417094	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
0.767452263	0.641067522	-0.0070324936	0_1	 + 1	PD[];
-0.827860532	-0.557460727	-0.0623255735	0_1	 + 1	PD[];
-0.334922128	0.668221965	0.664309095	0_1	 + 1	PD[];
0.810341131	-0.135867589	0.569988815	0_1	 + 1	PD[];
0.954347271	-0.20318821	-0.218942545	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.758432278	0.47352205	-0.447836295	0_1	 + 1	PD[];
-0.386297453	0.879333942	-0.278470995	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.987146872	0.154720146	0.0400341018	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.312623139	0.661241637	0.681928347	0_1	 + 1	PD[];
0.0743898223	0.12850559	0.988914793	0_1	 + 1	PD[];
0.597450128	-0.675658747	-0.431901148	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.344433399	-0.938789528	-0.00631319359	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.436634888	-0.89091222	-0.125001563	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0195043314	0.274647204	-0.961347229	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,4],X[3,2,4,1],X[5,2,6,3]];
0.638265218	-0.436480749	-0.634115185	0_1	 + 1	PD[];
-0.568242488	-0.0365778043	0.822047772	0_1	 + 1	PD[];
-0.809938896	0.0114227187	0.586403024	0_1	 + 1	PD[];
0.132478292	0.416621924	0.899375158	0_1	 + 1	PD[];
-0.680377208	-0.0252994069	-0.732425283	0_1	 + 1	PD[];
0.472593228	0.302330202	0.827799547	0_1	 + 1	PD[];
0.447313666	0.34821506	0.823806261	0_1	 + 1	PD[];
0.603431713	0.66680756	-0.437307496	0_1	 + 1	PD[];
0.0795698825	-0.947195658	0.310626816	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.631927295	0.177721078	0.754375976	0_1	 + 1	PD[];
-0.304800451	0.720999414	-0.622299389	0_1	 + 1	PD[];
0.0500543504	0.115275573	-0.992071623	0_1	 + 1	PD[];
0.535398809	0.438486785	0.721856948	0_1	 + 1	PD[];
-0.784241622	0.568562106	0.248399298	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0528922123	0.995591886	-0.077454573	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.171054098	0.944401533	0.280795726	0_1	 + 1	PD[];
0.232560353	0.12082767	0.965047334	0_1	 + 1	PD[];
-0.927760993	-0.203221187	-0.312986725	0_1	 + 1	PD[];
-0.650074738	0.106051322	0.752433354	0_1	 + 1	PD[];
0.593830882	-0.482604384	0.643784042	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.0899921381	-0.804235663	0.587457584	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.970619689	0.17095919	0.169323285	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.500751457	-0.348315274	-0.79241684	0_1	 + 1	PD[];
-0.918515039	0.37697158	-0.119258334	0_1	 + 1	PD[];
-0.975500068	0.173064368	0.135824673	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.13603804	-0.900386761	-0.413276338	0_1	 + 1	PD[];
0.511189732	0.532619231	0.674538222	0_1	 + 1	PD[];
-0.268325765	-0.822897642	-0.500840048	0_1	 + 1	PD[];
0.193724103	0.005706389	0.981039453	0_1	 + 1	PD[];
0.558826805	-0.708158007	-0.431537761	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.670489768	-0.0576318678	0.739676983	0_1	 + 1	PD[];
-0.903719181	0.425101543	-0.0507968571	0_1	 + 1	PD[];
0.247314441	-0.459303658	0.853156326	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
-0.609845442	0.65058747	-0.452575387	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,5,1,4],X[3,2,4,1],X[5,2,6,3]];
-0.718669485	0.2402265	-0.652537662	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.584368091	-0.280313184	-0.761536902	0_1	 + 1	PD[];
-0.850599089	-0.333925284	0.406171262	0_1	 + 1	PD[];
-0.938568875	0.252918496	-0.234777985	0_1	 + 1	PD[];
-0.943112732	-0.281919456	-0.176237894	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.804022706	-0.491312131	-0.334902789	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.103292491	-0.61827833	-0.7791422	0_1	 + 1	PD[];
0.0985523328	0.18992313	0.976840131	0_1	 + 1	PD[];
-0.992179749	-0.0577136562	-0.110672851	0_1	 + 1	PD[];
0.56150749	-0.0398907	0.826509571	0_1	 + 1	PD[];
0.862443302	0.338603755	-0.376216757	0_1	 + 1	PD[];
0.802085166	0.30447626	-0.513764142	0_1	 + 1	PD[];
-0.390673849	-0.159465848	0.906611597	0_1	 + 1	PD[];
0.478467526	0.823028341	0.306093412	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.0894128378	-0.760455443	0.643205149	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.795080304	0.456233452	-0.399622755	0_1	 + 1	PD[];
0.963933228	-0.0807895529	-0.253585844	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.549316791	0.832545115	0.0715520456	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.625717675	0.0287801123	0.779518503	0_1	 + 1	PD[];
-0.387912025	-0.70397478	-0.594931735	0_1	 + 1	PD[];
0.175266903	0.874310627	-0.452617321	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.431762416	-0.426378913	0.794847305	0_1	 + 1	PD[];
0.0221279862	-0.713812359	-0.699987335	0_1	 + 1	PD[];
0.62127784	0.529607739	0.57752012	0_1	 + 1	PD[];
0.726925328	0.672254589	-0.140190355	0_1	 + 1	PD[];
0.572527889	-0.416561385	-0.706178751	0_1	 + 1	PD[];
0.233708079	-0.292819715	-0.927166192	0_1	 + 1	PD[];
-0.847298203	0.530345895	0.0286179357	0_1	 + 1	PD[];
-0.82193917	0.0806337153	0.563838811	0_1	 + 1	PD[];
0.887702609	-0.31971491	-0.331310208	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.622184751	0.00635852252	-0.782844624	0_1	 + 1	PD[];
-0.633368271	-0.769428907	0.0826062439	0_1	 + 1	PD[];
-0.294056127	-0.186878462	0.937340618	0_1	 + 1	PD[];
0.202269531	-0.904286848	-0.375968527	0_1	 + 1	PD[];
0.991836716	-0.016325623	-0.126465023	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.347876697	-0.574827206	-0.740645317	0_1	 + 1	PD[];
-0.443341447	0.822215046	0.356946466	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.331167675	0.437378613	-0.836078896	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.512218378	-0.24199803	-0.824056604	0_1	 + 1	PD[];
-0.249493252	0.275984654	-0.928216347	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.0435736506	0.993511234	0.10505601	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.529256431	-0.689789233	-0.494042959	0_1	 + 1	PD[];
-0.891081822	0.114384548	0.439191714	0_1	 + 1	PD[];
-0.152298621	0.542190693	-0.826337935	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.749993493	-0.561611535	0.349431315	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,1,5,0],X[2,5,3,6],X[1,4,2,3]];
0.942886354	-0.249591945	-0.220610936	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.26113515	-0.717742352	-0.645487683	0_1	 + 1	PD[];
-0.219414457	-0.413103178	0.883856923	0_1	 + 1	PD[];
0.290618308	0.482444822	-0.826309865	0_1	 + 1	PD[];
-0.708659706	-0.670417613	-0.219867334	0_1	 + 1	PD[];
0.235621934	-0.969829927	-0.0625477224	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.632784231	-0.32826291	-0.701304199	0_1	 + 1	PD[];
0.791379792	0.554637982	-0.25708896	0_1	 + 1	PD[];
0.287274248	0.000678748466	0.957848133	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[3,0,4,1],X[5,2,6,1],X[2,7,3,6],X[4,7,5,8]];
-0.943623837	0.285946053	0.166760032	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.618298888	-0.125056088	-0.775930061	0_1	 + 1	PD[];
-0.58253318	-0.584283828	0.565037612	0_1	 + 1	PD[];
-0.781099936	0.582332805	0.225325084	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.796398068	0.183976985	0.576109873	0_1	 + 1	PD[];
-0.221104994	-0.663498799	0.714760047	0_1	 + 1	PD[];
0.481060711	0.445056999	0.755317721	0_1	 + 1	PD[];
0.332862722	0.887369807	-0.319025445	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.293291788	-0.248880752	-0.923059206	0_1	 + 1	PD[];
-0.833978875	-0.453208407	0.314771943	0_1	 + 1	PD[];
-0.53958155	0.829183801	0.145965664	6_7s|6_7m|6_12s|6_12m	 - A^(-22) - A^(-20) + A^(-16) + A^(-14) + A^(-12)	PD[X[0,9,1,8],X[10,7,11,6],X[3,6,4,5],X[11,5,12,4],X[9,2,10,1],X[2,8,3,7]];
-0.910196325	-0.382601624	-0.158614775	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.295570075	0.729379498	0.616963434	0_1	 + 1	PD[];
0.78523323	-0.575935563	-0.227391736	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.727094524	-0.4278329	-0.536928825	0_1	 + 1	PD[];
-0.595016197	0.803237298	-0.0276688961	0_1	 + 1	PD[];
-0.10659451	-0.786813071	-0.607916772	0_1	 + 1	PD[];
0.729445858	0.450434648	-0.514798376	0_1	 + 1	PD[];
-0.557437339	0.229351981	0.797910573	0_1	 + 1	PD[];
-0.115866441	-0.946179252	-0.302191646	0_1	 + 1	PD[];
-0.218472048	-0.957737228	0.187107898	0_1	 + 1	PD[];
0.105937167	0.313278562	0.943733998	0_1	 + 1	PD[];
0.157698684	-0.170707236	-0.972620257	0_1	 + 1	PD[];
-0.234017831	-0.197865388	0.951884942	0_1	 + 1	PD[];
-0.123255709	-0.958680788	0.256396524	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.238112051	-0.709757185	0.662983702	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.109312135	-0.273902888	0.955525021	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
-0.884991166	-0.238859303	0.399670952	0_1	 + 1	PD[];
-0.470375056	-0.635352401	0.612433371	0_1	 + 1	PD[];
-0.768085716	-0.121358921	0.628741874	0_1	 + 1	PD[];
-0.229588926	0.96707962	0.109753965	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.653902737	-0.540864074	0.529034275	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
-0.043442491	-0.0240025899	0.998767553	0_1	 + 1	PD[];
0.391897281	0.572704557	0.720018064	0_1	 + 1	PD[];
-0.753077079	0.0837415692	-0.652581231	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.378389842	-0.325835257	0.86640205	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
-0.823377978	-0.27483739	-0.49650087	0_1	 + 1	PD[];
0.502981817	0.713718758	0.487457511	0_1	 + 1	PD[];
0.908492355	0.199126806	-0.367410065	0_1	 + 1	PD[];
-0.613468234	-0.0476231034	0.788282161	0_1	 + 1	PD[];
0.475466583	0.44471181	-0.759053973	0_1	 + 1	PD[];
-0.328172548	0.658231844	0.677520198	0_1	 + 1	PD[];
0.656560569	0.221053187	0.721154427	0_1	 + 1	PD[];
0.0506155928	-0.906151339	0.419914054	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.108770244	0.883673306	0.455291689	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.0969552216	0.435765199	-0.894823098	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.966046574	-0.215316762	-0.142803044	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.693662346	-0.719032066	0.0427251463	0_1	 + 1	PD[];
0.527930596	-0.824434925	-0.20395181	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[1,7,2,6],X[4,3,5,2],X[3,8,4,7]];
0.0808173083	0.316289567	-0.945213982	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.411209094	0.647850068	-0.641246731	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.0351018778	-0.950059039	-0.310089795	0_1	 + 1	PD[];
-0.736893066	0.597855671	-0.315526872	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
-0.54087019	0.425365921	0.725619233	0_1	 + 1	PD[];
0.213186684	0.752236246	0.623451736	0_1	 + 1	PD[];
0.815770095	-0.382089868	0.434196367	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.000447946156	0.534751592	0.845009192	0_1	 + 1	PD[];
0.803503849	-0.415088959	0.42671152	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,1,5,0],X[1,4,2,3],X[2,5,3,6]];
0.605315191	-0.0613950501	-0.793614622	0_1	 + 1	PD[];
-0.107403049	0.373304824	0.921470615	0_1	 + 1	PD[];
-0.160488245	-0.791621276	0.589558545	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.972672403	-0.00698981668	0.232076579	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.932194118	0.0619897671	-0.356610985	0_1	 + 1	PD[];
-0.565589013	-0.46128164	-0.683614158	0_1	 + 1	PD[];
-0.83892408	-0.306646599	-0.449637911	0_1	 + 1	PD[];
0.611396712	-0.614593891	-0.498466057	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.232971418	-0.731360474	0.640965034	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
-0.281197036	-0.80222559	0.526652	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.822516583	-0.289913826	-0.489301997	0_1	 + 1	PD[];
0.802498219	0.586167466	0.11137464	0_1	 + 1	PD[];
-0.92548841	0.0344546131	0.377205624	0_1	 + 1	PD[];
-0.226197568	-0.911280408	-0.344096902	0_1	 + 1	PD[];
0.616712056	-0.167196482	-0.769227909	0_1	 + 1	PD[];
-0.782374262	0.296919055	-0.547475651	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.904565572	-0.00673549056	0.426281314	0_1	 + 1	PD[];
-0.930645553	-0.233549973	-0.281697116	0_1	 + 1	PD[];
0.758538671	-0.154788187	-0.632976857	0_1	 + 1	PD[];
0.223292716	0.662649297	0.71486801	0_1	 + 1	PD[];
0.457365883	0.622850683	0.634723149	0_1	 + 1	PD[];
-0.622376533	0.217736678	0.751823244	0_1	 + 1	PD[];
0.773831141	-0.290671252	-0.562757131	0_1	 + 1	PD[];
0.758560782	-0.38635297	0.524706511	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
0.825972156	-0.0919444783	-0.556162036	0_1	 + 1	PD[];
0.357326567	0.900258488	0.248701386	0_1	 + 1	PD[];
-0.216505033	-0.791512477	-0.571518652	0_1	 + 1	PD[];
0.932502391	0.338020532	0.127206173	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0970383571	0.758887002	-0.64395192	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.493969497	0.682657747	0.53849098	0_1	 + 1	PD[];
0.785917979	-0.124287524	-0.605710774	0_1	 + 1	PD[];
-0.0597537469	-0.355486024	0.932769627	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[4,0,5,1],X[7,2,8,1],X[2,7,3,6],X[5,4,6,3]];
-0.702132409	0.584825422	0.406188756	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.314656065	-0.429916209	0.846264506	0_1	 + 1	PD[];
0.0408578916	-0.102404764	-0.993903364	0_1	 + 1	PD[];
0.459574874	0.449952897	-0.765724053	0_1	 + 1	PD[];
-0.572864099	0.777228742	-0.260273332	3_2|3_2ms	 + A^(-8) - A^(-4) - A^(-2) + 1 + A^(2)	PD[X[0,4,1,5],X[1,8,2,7],X[6,3,7,2],X[3,6,4,5]];
0.83386486	-0.551905821	-0.00832831627	0_1	 + 1	PD[];
0.124964123	-0.964796105	0.231414008	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.374485923	0.275090111	-0.885486151	0_1	 + 1	PD[];
0.705041728	0.324421018	0.630608567	0_1	 + 1	PD[];
-0.293602641	0.952127704	-0.0851488323	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0567095551	0.296734266	0.953274778	0_1	 + 1	PD[];
0.999353794	-0.032486659	-0.0153821809	0_1	 + 1	PD[];
